cue target 1930, cosine similarity=0.09
cue target 1940, cosine similarity=0.19
cue target 1950, cosine similarity=0.06
cue target 1960, cosine similarity=0.11
cue target 1970, cosine similarity=0.21
cue target 1980, cosine similarity=0.23

saber sword 1930, cosine similarity=0.00
saber sword 1940, cosine similarity=0.00
saber sword 1950, cosine similarity=0.08
saber sword 1960, cosine similarity=0.09
saber sword 1970, cosine similarity=0.12
saber sword 1980, cosine similarity=0.10

saber tooth 1930, cosine similarity=0.00
saber tooth 1940, cosine similarity=0.00
saber tooth 1950, cosine similarity=0.30
saber tooth 1960, cosine similarity=0.39
saber tooth 1970, cosine similarity=0.36
saber tooth 1980, cosine similarity=0.26

saber knife 1930, cosine similarity=0.00
saber knife 1940, cosine similarity=0.00
saber knife 1950, cosine similarity=0.11
saber knife 1960, cosine similarity=0.13
saber knife 1970, cosine similarity=0.22
saber knife 1980, cosine similarity=0.26

saber saw 1930, cosine similarity=0.00
saber saw 1940, cosine similarity=0.00
saber saw 1950, cosine similarity=-0.00
saber saw 1960, cosine similarity=-0.06
saber saw 1970, cosine similarity=0.16
saber saw 1980, cosine similarity=0.15

saber tiger 1930, cosine similarity=0.00
saber tiger 1940, cosine similarity=0.00
saber tiger 1950, cosine similarity=0.45
saber tiger 1960, cosine similarity=0.46
saber tiger 1970, cosine similarity=0.41
saber tiger 1980, cosine similarity=0.45

saber sharp 1930, cosine similarity=0.00
saber sharp 1940, cosine similarity=0.00
saber sharp 1950, cosine similarity=0.11
saber sharp 1960, cosine similarity=0.07
saber sharp 1970, cosine similarity=0.11
saber sharp 1980, cosine similarity=0.12

saber cat 1930, cosine similarity=0.00
saber cat 1940, cosine similarity=0.00
saber cat 1950, cosine similarity=0.28
saber cat 1960, cosine similarity=0.31
saber cat 1970, cosine similarity=0.27
saber cat 1980, cosine similarity=0.32

saber fence 1930, cosine similarity=0.00
saber fence 1940, cosine similarity=0.00
saber fence 1950, cosine similarity=0.11
saber fence 1960, cosine similarity=0.11
saber fence 1970, cosine similarity=0.15
saber fence 1980, cosine similarity=0.08

sack bag 1930, cosine similarity=0.53
sack bag 1940, cosine similarity=0.50
sack bag 1950, cosine similarity=0.47
sack bag 1960, cosine similarity=0.44
sack bag 1970, cosine similarity=0.42
sack bag 1980, cosine similarity=0.42

sack potato 1930, cosine similarity=0.17
sack potato 1940, cosine similarity=0.21
sack potato 1950, cosine similarity=0.24
sack potato 1960, cosine similarity=0.28
sack potato 1970, cosine similarity=0.27
sack potato 1980, cosine similarity=0.19

sack bed 1930, cosine similarity=0.16
sack bed 1940, cosine similarity=0.20
sack bed 1950, cosine similarity=0.18
sack bed 1960, cosine similarity=0.18
sack bed 1970, cosine similarity=0.12
sack bed 1980, cosine similarity=0.22

sack flour 1930, cosine similarity=0.37
sack flour 1940, cosine similarity=0.39
sack flour 1950, cosine similarity=0.38
sack flour 1960, cosine similarity=0.35
sack flour 1970, cosine similarity=0.38
sack flour 1980, cosine similarity=0.36

sack pouch 1930, cosine similarity=0.23
sack pouch 1940, cosine similarity=0.26
sack pouch 1950, cosine similarity=0.26
sack pouch 1960, cosine similarity=0.28
sack pouch 1970, cosine similarity=0.27
sack pouch 1980, cosine similarity=0.25

sack cloth 1930, cosine similarity=0.27
sack cloth 1940, cosine similarity=0.26
sack cloth 1950, cosine similarity=0.29
sack cloth 1960, cosine similarity=0.36
sack cloth 1970, cosine similarity=0.29
sack cloth 1980, cosine similarity=0.33

sack groceries 1930, cosine similarity=0.14
sack groceries 1940, cosine similarity=0.23
sack groceries 1950, cosine similarity=0.20
sack groceries 1960, cosine similarity=0.28
sack groceries 1970, cosine similarity=0.25
sack groceries 1980, cosine similarity=0.34

sack hit 1930, cosine similarity=0.14
sack hit 1940, cosine similarity=0.15
sack hit 1950, cosine similarity=0.18
sack hit 1960, cosine similarity=0.22
sack hit 1970, cosine similarity=0.30
sack hit 1980, cosine similarity=0.23

sack nap 1930, cosine similarity=0.11
sack nap 1940, cosine similarity=0.21
sack nap 1950, cosine similarity=0.18
sack nap 1960, cosine similarity=0.19
sack nap 1970, cosine similarity=0.25
sack nap 1980, cosine similarity=0.16

